0,1,1,1
10,1,1.5,1.5
30,2.5,3,3
50,3,5.5,5.5
70,6,5,5.5
80,5.5,6,6
90,7,5.5,5.5
110,6.5,5.5,6
130,7,7,6
150,6.5,6.5,6.5
800,9,10,10
8000,10,10,10
0,1,1,1
10,2,2,1.5
30,4,2,3
50,5.5,5,4.5
70,5,4,6
80,5.5,6,6
90,6,6,6.5
110,6.5,6,6
130,7,6.5,6.5
150,6.5,7,7
800,10,10,10
8000,10,10,10
0,1,1,1
10,1.5,1.5,1.5
30,4,4,4
50,3.5,5.5,3
70,6,6,6.5
80,6,7,5.5
90,6,6,6
110,6,6,6
130,6.5,7.5,7
150,6,7,6.5
800,10,10,10
8000,10,10,10
