0,1,1,1,
10,1,2,1,
30,1,2,2,
50,2,2,2,
70,4,6,2,
80,5,5,4,
90,5,7,5,
110,5,6,3.5,
130,6,6,5.5,
150,6,6,5.5,
800,8,8,8,
8000,10,10,10,
0,1,1,1,
10,1,2,1,
30,1.5,2,1,
50,2,5,2,
70,3,5,2,
80,4,6,3,
90,3,5,4,
110,5.5,6,5.5,
130,5.5,6,6.5,
150,6,6,5.5,
800,9,9,8,
8000,10,10,9,
0,1,1,1,
10,1,2,1,
30,1,2,1,
50,2,5,2,
70,3,5,3.5,
80,4,6,2,
90,4,5,5.5,
110,5.5,6,3,
130,6,6,5.5,
150,6,6,5.5,
800,9,9,8,
8000,10,10,9,
